sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending,language
"Pikeun Fiona, kosmétik sanés ngan ukur alat pikeun dandan",Kosmétik mangrupikeun bagian penting tina tujuanana,"Fiona resep pisan kana pilem fiksi, khususna anu témana alien",Anjeunna hoyong pisan janten juru rias pikeun aktor sareng aktris pilem fiksi,Fiona ngahadiran sababaraha kursus makeup pikeun diajar makeup khusus,Manehna oge hayang jadi aktris,su
Mella téh pencinta sato.,Mella gaduh sababaraha piaraan di bumi.,"Aya ucing, kelenci sareng hamster anu dipiara ku Mella ti leuleutik.","Ucing nu ngaranna Milo téh pangkolotna, dibandingkeun jeung kelenci jeung hamster nu umurna kakara 6 bulan.",Milo pas 1 taun bulan ieu.,Milo sasih 5 bulan.,su
"Sabenerna, Rio teu pinter masak","Unggal masak, rasana asin","Sakapeung, rasa kadaharan anu dahsyat","Tapi, dua sobatna teu tega pikeun jujur ka Rio",Aranjeunna hariwang yén éta bakal ngajantenkeun Rio sedih,Masakan Rio cocog pikeun rasa maranéhanana,su
Elisa resep ngumpulkeun cocooan slime,Slime anu dikumpulkeun anjeunna dicandak sacara acak,Anu mésér henteu tiasa nyarioskeun lendir naon anu aranjeunna kéngingkeun dugi ka muka bungkusan,Slime dijual boga runtuyan nu bisa dikumpulkeun,Elisa hoyong gaduh sadayana séri,Elisa meuli pabrik slime pikeun ngumpulkeun sagalana,su
Dira naék sapédah,Fina naék kana motor,Kesya asup kana mobil,"Késya, Dira, jeung Fina rék ka warung kopi","Kesya, Dira jeung Fina teu naék kana kandaraan nu sarua",Dira asup kana mobil Kesya,su
Barang-barang di kamar Vely rancunit pisan,Vely meuli rak tina aplikasi balanja online,Vely nempatkeun barang-barangna dina rak,Kamar Vely jadi rapih pisan,Vely henteu deui kasulitan milarian barang-barangna,Teu aya anu robih ti kamar Vely,su
Saputra rék ngadaptarkeun hiji organisasi,Saputra masih can yakin kana kaputusanana,Saputra hariwang teu tiasa ngalaksanakeun tugasna,Efa ngayakinkeun yén Saputra sanggup,Efa ngadukung kaputusan Saputra,Efa ngalarang Saputra ngadaptarkeun organisasi,su
Asna anak katilu ti opat sadulur,Ayeuna anjeunna nuju kelas 3 SMA,Duanana lanceukna patugas pulisi,Geus jadi tradisi di kulawargana budak lalaki jadi pulisi,Asna moal neruskeun atikanana jadi pulisi,Adina Asna anu kadua awéwé,su
Panjul meunang medali pérak OSN,Panjul resep pisan kana ékonomi,Panjul meunang ondangan ka universitas impianana,Panjul bakal ngawakilan Indonésia pikeun Olimpiade Ékonomi Internasional,Panjul mangrupa medali OSN dina Ékonomi,Panjul kudu bajoang pikeun ngahontal universitas impianna,su
Cella meuli perhiasan Hujan,Hujan bagja pisan,Cella resep ngabagi ka batur,Cella henteu sombong ku hartana,Cella téh sobat anu bageur jeung teu sombong,Hujan ngahutang perhiasan ka Cella,su
Dinten ieu Deni ngahaja sumping ka kuring sareng masihan kuring coklat siverqueen bodas.,"Deni gancang datang, langsung mikeun cikopi bari nyeungseurikeun, tuluy ngajauhan.","Kuring nu narima cikopi teh bingung ku sikep Deni, tapi kuring oge rada seuri bari nempo tonggong Deni ngajauhan kuring.",Teu nyangka Deni ngalakukeun hal romantis siga kieu.,"Kusabab di sakola anjeunna katelah lalaki anu hate baja, tiis tur ambek.",Deni jempé ningali kuring.,su
Tifani boga pulpén anyar,Gia nginjeum pulpén Tifani,Tifani néangan pulpén anyarna,Tifani ambek ka Gia,Gia teu kenging nginjeum barang-barang Tifani,Tifani mikeun pulpénna ka Gia,su
Soré éta manéhna kaluar ti kamar mandi kalayan beungeut baseuh.,"""Geus nyeuseuh kesang atawa nyeuseuh cimata?"" Kuring nyerengeh bari ngantri di lorong kamar mandi.",Saperti biasa jawabanana ngan seuri manis siga euweuh kajadian.,Tuluy kuring nyampeurkeun ka manéhna nu keur nyiduh susu coklat haneut sanggeus datang ti kamar mandi.,"“Ulah terus nyumputkeun masalah, sakurang-kurangna ku jalan carita bakal lega,” ceuk kuring.",Anjeunna nempatkeun sababaraha baju kotor kana mesin cuci.,su
Harga sapatu target Inez langkung mahal tibatan harga sateuacana.,Hargana beuki mahal.,Inez teu gaduh tabungan anu cekap pikeun ngagaleuhna.,"Inez nangtung cicingeun di hareup sapatu coveted nya, pamikiran ngeunaan naha manéhna kudu nyimpen leuwih atawa ngan meuli sapatu séjén","Tungtungna, Inez leumpang kaluar ti warung jeung dimaksudkeun pikeun nyimpen nepi ka manéhna bisa meuli sapatu manéhna hayang.","Ahirna, Inez meuli sendal dua nepi ka wareg.",su
Tristan boga rasa sieun lamun ngadéngé guludug,Trauma Tristan dimimitian nalika ucingna katarajang kilat,Tristan kaleungitan ucingna,Dinten ieu hujan jeung kilat,Tristan nyéépkeun waktos ngajerit sieun ayeuna,Tristan nangkeup ucingna nalika sieun,su
"Niko maksa ngarérét ka lanceukna, Oki, ngajauhan sawah deukeut imahna.","Langit mimiti poék, pertanda yén hujan bakal turun.",Oki teu daékeun balik ka imah sanajan Ema geus waktuna ngajemput.,"Ku kituna, Ibu ménta tulung ka Niko pikeun ngabujuk Oki pikeun eureun maén sarta balik ka imah.","Oki hese dibujuk, Niko kapaksa ngareret Oki ka imah lantaran sieun hujan.","Oki, nu hese dibujuk, ngajadikeun Niko heran lamun manehna hayang boga dulur sejen.",su
Gita lalajo tipi,Mamah nyampeurkeun Gita ukur lalajo tipi,Gita alesan yén manéhna lalajo saluran atikan,Mamah ambek kénéh ka Gita,Gita sabenerna keur diajar bari lalajo tipi,Mamah ngidinan Gita lalajo tipi,su
Lalulintas di Jalan Sudirman ti beurang nepi ka soré sok ramé.,Gayatri nu karék mulang ti mancanagara katémbong keur ngararasakeun macét di sabudeureunana.,Saha nu nyangka yén macét di Jakarta bisa jadi hal anu dipikanyaah ku Gayatri.,"Gayatri diuk anteng dina jok beus nu geus eureun sapinuhna, sirahna ngalieuk ka jandela.",Gayatri betah ningali lampu-lampu jalan jeung lampu-lampu warna-warni kandaraan nu ngariung.,Gayatri teu tahan macét di sabudeureunana.,su
Ilham ngalakukeun tindakan plagiat,Universitas Ilham teu toleran plagiat,Hukuman anu paling hampang pikeun plagiarisme nyaéta meunang kelas E,Ilham katéwak ngalakukeun plagiat,Ilham meunang E dina Kalkulus,Ilham ngerjakeun tugas kalkulus sorangan,su
Angga telat datang ka sakola,Angga dihukum kasép,Angga kapaksa nangtung di lapang sakola,Angga teu eureun-eureun ngageugeuh bandera nepi ka balik sakola,Angga teu bisa ngarasakeun waktu istirahatna,Angga mutuskeun teu sakola,su
Reno resep pisan ngadahar mie rebus,"Unggal dinten, Reno tuang sahenteuna sakali mie pindang","Hiji waktu ngadahar mie rebus, can bérés dua bungkus",Anjeunna salawasna nambahkeun mustard greens kana mi na,"Upami anjeunna lapar pisan, anjeunna nambihan endog",Mie pindang kudu asak nepi ka asak,su
"Kusabab budak leutik, Jojo digedékeun ku monyét",Anjeunna murag ka walungan nalika anjeunna orok sarta whereabouts na teu kapanggih,Monyét bikang ngajemput anjeunna di tepi walungan sareng ngurus anjeunna dugi ka yuswa 17 taun,Jojo hirup jeung kulawarga monyét,Ayeuna anjeunna tindakan sapertos monyét sareng teu tiasa nyarios normal sapertos manusa biasa,Ayeuna Jojo ngarencanakeun kuliah di Universitas Indonesia jurusan kehutanan,su
Abran meunang jajan ultah ti sobatna,Ngan sapotong jajan tapi pohara berharga pikeun Abran,Abran terang yén kaayaan kauangan sobatna teu saé,Babaturan Abran masih kénéh méré hadiah ka Abra,Abra ngarasa bagja boga babaturan kitu,Sahabat Abran poho kana ulang taun Abran,su
Aji nyieun kasalahan ka Jason,Jason ngahampura Aji,Jason ngan méré Aji kasempetan kadua,Aji nyieun kasalahan deui ngalawan Jason,Jason moal ngahampura Aji kadua kalina,Aji teu boga masalah jeung kasalahan kadua Jason,su
Adina nelepon indung kuring,Adina keur néangan buku sakolana,Ema nitah adina néangan sorangan,Adina mah teu manggihan buku sakolana,Indung teu hayang nulungan adina néangan buku sakolana,Adina mah teu boga buku sakola,su
Waktu harita kuring masih kelas lima SD.,Abdi ngahaja ngagaleuh buku harian anu tiasa dikonci supados carita cinta anak anjing abdi henteu kabaca ku Mamah.,Teu antaparah deui kalung bentuk haté jeung surat nu disimpen dina kotak diary kudu disumputkeun.,"Tapi saha nu nyangka, éta diary nu mawa kuring ka saha kuring ayeuna.","Kusabab ti harita kuring mimiti resep nulis, jadi kuring bisa nulis novel siga ayeuna.",Abdi resep nyerat sareng maca novel.,su
Ari kampung lahir teh geulis pisan,Sawah manjang sajauh panon,Hawa masih seger jeung beresih,Soréna barudak di kampung ulin babarengan,"Teu jarang, ari ulin jeung maranéhna",Ari teu resep ka budak,su
Sukma nempo kukupu ngalayang,Sukma hayang newak salah sahiji kukupu,Sukma bungah ku jangjang kukupu,Sukma kalah néwak kukupu,Sukma milih neuteup ti kajauhan,Sukma nyokot kabéh kukupu nu ngalayang,su
Budak awéwé anu maké kerudung hideung narik perhatian Fahri,Fahri jarang ningali awéwé berjilbab di daérah ieu,Haté Fahri ngagebeg basa nyaho yén awéwé éta bener-bener ngajaga pandanganna,Fahri niat rék taaruf jeung éta mojang,Fahri ngarasa yén éta mojang bener-bener ngurus dirina,Budak awéwé ngagoda Fahri nyampeurkeun,su
Ngaran Yuna ditulis dina kartu nu napel dina sampul buku.,Yuna nyokot buku tina lantai.,Yuna nganggap buku baturna nu murag.,"Tétéla aya kartu tulisan ""Kanggo Yuna"" napel.",Salam ti guruna nyieun Yuna langsung nyimpen bukuna kana kantongna tanpa muka kartu.,Salam ti guruna ngajadikeun Yuna ngangkat sirahna tina posisi saré dina méja.,su
Kina cita-cita jadi sastrawan,Anjeunna hoyong nyerat novel fantasi anu saé anu dibaca ku jalma-jalma di sakumna dunya,"Hanjakal, kolot Kina teu ngadukung impianana",Aranjeunna hoyong Kina fokus kana diajar janten pengacara,Kina sedih lantaran kolotna teu ngadukung impianana,Kolotna Kina nyaéta sastrawan anu kasohor,su
Dinten ayeuna Mama Yana nyobian ngadamel biskuit apal deui,Mama Yana hoyong pisan ngadamel biskuit apel anu nikmat,"Dina percobaan kahiji, biskuit apel indungna ngeunah pisan",Rasa biskuit apel dina percobaan salajengna henteu saé sapertos anu munggaran,"Ku alatan éta, indungna terus nyoba nyieun biskuit apal",Biskuit paling sering ditambahan coklat atanapi kéju,su
Kulawarga Pak Juju resep pisan kana olahraga,Dina weekends aranjeunna mindeng olahraga babarengan,Di imah Ceu Juju ogé aya rohangan olah raga husus,Di jero aya loba parabot pikeun olahraga,Parabot olah raga anu aya sapertos threadmills sareng dumbbells,Latihan kedah nganggo alat bantu,su
Levi ngagaduhan masalah sareng sistem saraf na,Levi teu bisa ngabales sababaraha rangsangan,Levi geus ngalaman masalah ieu saprak anjeunna lahir,Levi sieun ku kakuranganana,Saraf Levi gancang ngaréspon kana sagala rangsangan,Levi henteu kunanaon sareng kakuranganana,su
"Haris, lulusan SMA ti Palembang, meunang béasiswa pinuh pikeun diajar Sarjana Kedokteran di Universitas Indonesia","Manéhna nu tadina gugupay alatan waragad, ahirna ngarasa tenang",Sakabéh waragad SPP jeung waragad hirup di Kota Dépok bakal ditanggung ku pamaréntah,Haris mangrupa salah sahiji penerima beasiswa Bidik Misi taun ieu,Haris kacida bersyukurna lantaran ahirna cita-citana jadi dokter bisa kawujud ku Bidik Misi,Haris kacida bersyukurna ku Bidik Misi bisa mantuan ngabiayaan kahareup kolotna hirup di kota Depok.,su
Gea ngaduk-ngaduk mie hayam nu aya di mangkokna ku teuteup kosong.,"Liora anu diuk hareupeunana, melong ka Gea reuwas.",Gea teu biasa kalakuan siga kieu lamun ngadahar mie hayam karesepna.,Sora bel panto ngahalangan Liora rek nanya aya naon.,Liora bakal nanya engké sanggeus sakola.,Liora bakal ngabéréskeun mie hayam Gea saatos sakola.,su
Carlos pisan terampil dina prosés fermentasi susu,Carlos boga usaha nyieun susu ferméntasi,Carlos ngagaduhan seueur kauntungan tina usaha ieu,Susu ferméntasi anu dihasilkeun Carlos nikmat pisan nginum,Perusahaan Carlos kasohor di luar negeri,Carlos damel di hiji perusahaan akuntansi,su
"""Hayu, hayu urang balik ka kelas, abdi bakal milarian anjeun engké,"" pokna sanggeus sababaraha menit, urang nyumput di tukangeun wangunan kelas.","“Enya, kadieu heula, sieun babarengan,” walon kuring.","""Ah, teu nanaon, santai wae, urang kelas dua belas, teu cape nyumput wae?"" cenah bari ngarumbaykeun buuk kuring.",Anjeunna teras nyandak leungeun kuring sareng ngajak kuring ka kelas.,"Sababaraha babaturan seuri, nepi ka beungeut kuring langsung jadi beureum jeung panas alatan éra jeung pikagumbiraeun.",Anjeunna ngajak kuring ka lapangan baskét sareng anjeunna ngajak kuring maén baskét.,su
Nini resep pisan nonton sinetron,Unggal soré sanggeus solat magrib manéhna diuk hareupeun layar televisi salila 3 jam,Aya kalana manéhna ngagerendeng lantaran keuheul ningali tokoh antagonis anu kalakuanana mindeng ngaganggu tokoh utama.,Teu jarang nini-nini dibaturan ku akina nalika nonton sinetron.,"Pikeun nini, sinétron téh minangka sarana hiburan peuting",Nini hayang pisan jadi salah saurang palaku dina sinetron,su
Jase butuh duit keur biaya kalahiran pamajikanana,Jase nginjeum duit ka lanceukna,Jase ngahutang lumayan ageung,Jase bakal nyobian ngabalikeun duit,Jase ngabalikeun duit lanceukna 3 bulan ti harita,Jase teu nikah,su
Myra hoyong ngahubungi mentor na,Myra keur nyiapkeun surelek,Myra ngirim email ka mentor na,Myra ngadagoan teu sabar pikeun waleran,Myra nampi réspon email ti pengawasna,Myra ngahubungi mentor na ku telepon,su
Safar bakal muncul dina pagelaran kasenian sakolana,Safar ngajak Anne pikeun marengan anjeunna nyanyi,Anne nolak uleman Safar,Anne terus nyanyi dina pagelaran seni,Anne dipigawé solo tanpa iringan gitar Safar urang,Anne sareng Safar muncul babarengan dina acara seni,su
Sri nempo Cindy jeung Farlo,Sri nuduh Cindy ulin di tukangeunana,Cindy ngajelaskeun loba hal ka Sri,Sri narima katerangan Cindy,Sri geus salah ngartikeun Farlo jeung Sri,Cindy teu percaya kana omongan Sri,su
Mae jadi finalis dina pasanggiri biantara,Mae geus diusahakeun pangalusna nya pikeun lomba nya,Mae gagal nyieun kolotna reueus,Mae teu pundung,Mae masih ilubiung dina kompetisi séjén sangkan reueus kolotna,Mae can pernah milu pasanggiri,su
"Sanggeus jadi mahasiswa, Réndi hayang pisan aktif dina organisasi",Aya seueur organisasi anu anjeunna hoyong pilih,Anjeunna geus jangji sobatna pikeun gabung dina organisasi nu sarua,"Hanjakal, kolot Rendi teu satuju ka Rendi",Aranjeunna miharep Rendi ngan fokus kana studi na,Pikeun janten mahasiswa anjeun kedah ngaliwat tés asup heula,su
Leuweung resep tiiseun,Leuweung bakal ambek lamun katengtremanana kaganggu,Leuweung teu resep ribut,Rimba boga masalah dédéngéan,Ceuli leuweung bakal nyeri lamun aya ribut,Leuweung resep aya di tempat-tempat anu ribut,su
Zahra diajar hal anyar dina palajaran dinten ieu,Zahra sadar yén bumi téh teu damang,Pemanasan global lumangsung sareng ngancurkeun seueur hal,Kutub kalér bakal leungit lamun global warming terus,Pingguin jeung biruang kutub bakal leungiteun imahna,Henteu aya anu bakal kajadian upami pemanasan global diantep,su
Vivi ngucek-ngucek mata.,Beungeut Vivi kacaangan ku senter tina hapé.,Adina Kiki langsung menta hampura lantaran teu kahaja nyorot beungeut Vivi.,Imah Vivi jeung Kiki pareum.,Duanana leumpang ka dapur rék nyokot lilin.,Duanana nuju masak mie instan di dapur.,su
Suci mah pinter maén busur panah,Panah-panah anu dilemparkeun Suci bisa napel kana sasaran,Suci geus mindeng maén olahraga ieu saprak budak leutik,Suci ngalakukeun hal eta lamun manehna boga waktu luang,Suci bisa ngaleupaskeun panah ka arah sasaran,Suci teu bisa ngangkat tungkul,su
"Saban isuk-isuk, sakulawarga Pak Herman keur sarapan roti",Anjeunna sareng pamajikanana resep pisan kana roti coklat,Anak cikalna biasana sarapan roti bakar kéju,Anak kadua dahar roti bakar jeung endog,"Mangkaning anak bungsu Pak Hérman anu masih orok, dipasihan sarapan bubur orok",Anak orok Pak Herman dipasihan roti bakar,su
Andira ngagem agama Islam,Jibril téh Kristen,Kitab suci Andira nyaéta Al-Quran,Kitab Suci Jibril nyaéta Alkitab,Agama Andira jeung Jibril mah béda,Kitab suci Kristen nyaéta Al Qur'an,su
Beungeut Nina gampang semu beureum,"Unggal latihan, beungeutna bakal beureum","Mun isin, beungeutna ogé beureum",Babaturanana nicknamed Nina kulub udang,Maranéhna ngarasa yén Nina téh sarupa jeung udang anu jadi beureum lamun dipanaskeun,Udang ngandung gizi anu hadé pikeun awak,su
Hazel nyeri huntu,Mamah nitah Hazel ka dokter gigi,Hazel nolak sabab sieun dicabut huntuna,Mamah maksa Hazel geura indit,Hazel kapaksa nurut kana paréntah indungna,Kabéh huntu Hazel cageur,su
"""Anii.. lulus? hwaa!!"" Budi nu tadina bulak-balik langsung nangkeup Ani pageuh sanggeus ngadéngé Ani maca surat wisudana.","""Hmm"" jawab Ani datar.","""Naha ari teu bagja Ani? Tong hariwang, didinya mah moal ambigu,"" témbal Budi, nyéréngéh ka kuring nu keur hariwang.","Jempé sababaraha menit, Ani teu ngajawab.","“Akang, abdi mah teu hariwang ka anjeun, abdi ngan ukur naros saha anu janten ojek abdi upami anjeun angkat,” jawab Ani, tapi Budi terang yén Ani sok reueus.",Ani ngaraketkeun buukna sabeulah cangkéng.,su
Raun mikeun syal ka Ajeng,Ajengan nanya ka Raun,Raun masihan salaku kado ulang taun,Ajengan pisan ka Raun,Ajengan make syal anu dipasihkeun ku Raun,"Ajengan ambek kana syal beureum, terus dialungkeun",su
Nora henteu ngajual baju éceran,Nora ngalayanan pembeli anu ngajual borongan,Nora meunang leuwih untung mun pembeli meuli borongan,Nora geus loba kauntungan,Beuki pembeli nu datang hayang meuli borongan,Nora nampi pameseran boh borongan sareng eceran,su
Sita balanja bahan masak di supermarket.,"Sanggeus nyokot sagalana nu diperlukeun, Sita langsung ngantri di kasir.","Nalika gilirannana datang, Sita sadar yén duit anu dipiboga teu cukup pikeun mayar pameseranana.","Sita naros upami tiasa mayar nganggo kartu debit, sareng kasir ngajawab enya.",Sita ogé mayar nganggo kartu debit.,Sita teu boga kartu debit.,su
Arina keur néangan kado di puseur balanja,Misanna kakara ngalahirkeun,Anjeunna ogé hoyong masihan kado ka putrana,Arina mutuskeun meuli baju orok,Manéhna ogé meuli parabot dahar pikeun orok,Barudak orok biasana aya di pabinihan,su
Lily gagal pikeun ngalengkepan misi panungtungan,Lily narima teguran kasar ti atasannya,Lily dileupaskeun tina tugas salila 1 bulan,Lily ngalatih keras pikeun nebus kasalahanana,Lily teu acan damel 1 sasih,Lily dihampura sarta meunang misi anyar,su
"Tisya jeung Tasyi sok sakola di tempat anu sarua ti SD, SMP, nepi ka SMA.","Nalika kuliah, aranjeunna nyandak jurusan anu béda-béda dumasar kana kapentingan masing-masing.","Sanajan kitu, kampus maranéhanana masih sarua.",Aranjeunna mutuskeun pikeun hirup babarengan di apartemen deukeut kampus.,Tasya jeung Tasyi téh babaturan nu teu bisa dipisahkeun.,Tasya jeung Tasyi musuh abadi.,su
Prita sono pisan kana suasana riweuh di komplek,"Waktu keur leutik, komplek sok ramé soré",Barudak kaluar ulin babarengan,Ayeuna geus jarang barudak kaluar ulin sore,Maranehna sibuk di imah ku PR atawa gadget,Panonpoé di soré teu panas siga panonpoé beurang,su
Ema resep pisan kana pepelakan,Kembang karesep Emma nyaéta ros,Emma mindeng meuli kembang pikeun ngahias imahna,Emma boga kebon tukangeun garasi,Ema meuli kembang keur melak di imah,Ema alérgi kana kembang,su
