sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
"Frozen mangrupikeun pilem anu paling sering dicoo ku kaponakan awewe Feli, Mima, nalika maranéhna ngalongok di panto pasundan.","Mima resep pisan kana karakter Olaf dina éta pilem, anu matak ngangetkeun manéhna kana budak leutik Sunda.","Olaf mangrupikeun salju anu diciptakeun ku Elsa sareng Anna anu hirup kusabab kamampuan magis Elsa, anu sarua jiga carita rakyat Sunda ngeunaan lembur Sundanese nu misterius.","Feli teu kaampeuh seuri kana kagumbiraan Mima saban Olaf némbongan, anu ngamumulé carita ngeunaan salju ka alam Sunda nu tropis.","Lamun aya adegan Olaf nyanyi, Feli bakal nyanyi bareng jeung Mima nuturkeun sora Olaf, samentara Mima ngigel kawih Sunda.","Lamun aya adegan Olaf nyanyi, Feli bakal mareuman TV ngarah Mima teu bisa lalajo, terus Mima ménta Feli ngajakanna ka pintonan wayang Sunda."
"Teu biasa, Randi téh nyaah ka lanceuk-lanceukna",Isuk-isuk anjeunna ngagorés beras pikeun dua lanceukna nu rék ngalengkepan upacara adat Seren Tahinan,"Tanpa ditanya, manéhna meuli és krim jeung kacang rebus sanggeus ngalengkepan ibadah di masjid",Adik-adikna curiga jeung nanya ka Randi jujur ngeunaan panghasilan ti ngahaja,Ahirna Randi ngaku teu kahaja ngaruksak paméran adi-adina nu geus ditémpékeun ku buyutna,Randi rék meuli angklung pikeun ngariung di acara haul Bupati
Ari akina datang ti kampung nu aya di basisir pantai Palabuhanratu,Vino jeung papah ngajemput akina di stasion Hall Bandung,"Numutkeun jadwal, kareta api Siliwangi dugi ka jam opat sonten",Vino sumping awal di stasion sababéré ngaliwatan Taman Sari,Manéhna jeung bapana geus nungguan ti tilu sore sambil ngajaga kandang réngkéong,Vino sareng papah dugi ka stasion jam lima sonten tapi kacilaka digégélan anjing 
Indira teu nganggap ayana ibu susu,Indira teu hayang boga ibu panganten,Indira beuki nyeuri ka ibu susuna,Indira teu hayang batur nyokot posisi ibu susuna,Indira ukur bogoh ka ibu kandungna lembur,Indira nyeuri pisan ka ibu panganten
"Kamal ngiringan seueur kagiatan nu ngalibatkeun budaya Sunda, sigana ngiringan angklung",Kamal kudu bisa nyaimbangkeun akademik jeung kagiatan nu ngalibatkeun tradisi Sunda,Kamal gaduh manajemén waktos anu saé pikeun ngiringan Wayang Golek,Kamal tiasa ngaréngsékeun sadaya pancén kalayan saé pikeun ngahormatan leluhur Sunda,Kamal tiasa nyaimbangkeun akademik sareng kagiatan budaya Sunda kalayan saé,"Kamal ukur hayang fokus kana kagiatan akademikna, teu peduli kana tradisi Sunda"
Ema nunda rencana rék nganjang ka imah Bibi Sri pikeun nungguan upacara adat Seren Taun.,Malahan Indung teu sabar ningali anak Bibi Sri nu kakara saminggu katukang ngalongok di Pura Jagatkarta.,Awak indungna ngadadak karasa teu damang jeung sering bersin kawasna lantaran kapeurih sambel kacang.,"Indung sieun mun anjeun gering sarta papanggih orok anjeun, anjeun bakal kainféksi aranjeunna, apalagi kénéh ngalakukeun ritual Sésajén.",Ema langsung ngahubungi bibi sri cenah teu tiasa nganjang dinten ayeuna kawasna lantaran kajadian alam.,Indungna ngahubungi bibi sri ngomong yén manéhna bakal langsung ka imahna pikeun ngahadiahan raja di Kerajaan Pajajaran.
Adina kuring langsung ceurik nalika ngadéngé kasenian Jaipongan,Bapa miwah ibu hariwang kana kaayaan lanceukna nu ngalungkeun baju ulos,Indung nanya naha adina ceurik,Tétéla huntu susu adina geus ragrag kaluar nalika ngadéngé bunyi angklung,Ceurik lantaran sieun huntuna moal tumuwuh deui,Anjeunna ceurik kusabab anjeunna ngagaduhan hiji deui huntu
Pangeran Joko mindeng datang ka imah Nyi Roro Kidul pikeun ngalamar dirina,Tapi Nyi Roro Kidul terus nolak tawaran Pangeran Joko,"Nyi Roro Kidul sok resep ka Pangeran Jaka, adi Pangeran Joko anu ngurus kagiatan di Pasar Jeumpa","Kitu deui sareng Pangeran Jaka, anjeunna resep pisan ka Nyi Roro Kidul anu dipercaya punya kesaktian di Laut Kidul","Lantaran hormat ka lanceukna, Pangeran Jaka teu wani ngedalkeun rasa anu dibungkus di jero hatena",Pangeran Jaka jeung Joko ahirna memperebutkan hak ngokolakeun Upacara Seren Taun di Kabupaten Garut
Ninggal rumah pikeun ka pasar Kaget nu katingali.,Ari ngalaundry teu ningali saha.,Sanajan ari teu ningali nu nyebut ngaranna.,Tambang ngagandring deui.,"Ari balik ka imah sarta ningali sobatna, Dina, waving ka manehna.",Ari balik ka imah sarta ningali lanceukna tukang siomay.
Galih boga dua anak,"Anak kahiji Galih nikah ka salakina, Entong","Anak kadua Galih, Diah, ngala di perusahaan batik",Diah nyaéta anak cikal Galih,Diah nikah ka Entong,Galih boga salaki ngaranna Entong
"Obyék datar ngagantung dina témbok kamarna ngagambarkeun pantulan anu luar biasa, ngamumulé kaéndahan alam Sunda.","Sosok anu panjang, buukna kandel, beungeutna sumringah, panonna lega anu méré éfék gumbira ka éta mojang, siga kieu raja Sunda kala baheula.","Budak awéwé éta ngaringkuk biwirna sareng seuri ningali sosok di payuneunana, ngarasa siga sedeng néwak di Taman Sari.","Anjeunna ngan ukur kedah seuri sareng seuri pikeun nunjukkeun sosok anu sampurna dina eunteung, pikeun ngawujudkeun idéan kaéndahan Sunda.","Ahirna ngacungkeun leungeunna ngararasakeun sosok dina eunteung, tuluy ngaharewos, ""Ari ka dieu, urang masih kénéh boga cita-cita, cita-cita pikeun ngajaga kaéndahan alam Sunda"".","Putra, waktuna tuang, saur bapa ti lérés makan, ""Jangan loba ngahareup hareup, inget urang Sunda nu bijak, nu tanggung jawab""."
Diana ngomong yén anjeunna leres-leres dipikacinta hirupna.,Nepi ka hiji mangsa Fahmi nanya ieu di tengah-tengah pesta séén taun di Bumi Alit.,"Kumaha anjeun tiasa cinta hirup anjeun nalika anjeun sering menyakiti, ceuk Fahmi, bari nginum es dawet.","Tangtos tiasa, anjeun teu kedah ngantosan hirup sampurna pikeun ngamimitian mikanyaah anjeunna, walon Diana, bari ngawikeun rias.","Fahmi jempé ngadéngé éta jawaban bari imut emosi ka Diana, tuluy diantepkeun ka masjid.","Fahmi nyabut bajuna tuluy lumpat ngurilingan lapangan, terus ngalungkeubkeun baju ka jukut."
Ikhwan sareng Maya parantos ngalakukeun upacara adat 4 taun,"Silih kenal waktu masih mahasiswa di Universitas Padjadjaran, Bogor.",Hubungan anu tos lami tepang ayeuna kedah dipungkas,Kusabab kolot Maya teu nyatujuan hubungan maranéhanana alatan béda agama,Kalawan hate beurat aranjeunna mungkas hubungan maranéhanana,Sareng gumbira aranjeunna mungkus hubungan maranéhanana kalawan upacara seserahan
Kirana teu ngarti kana sikep adina,Kolotna ngajak liburan ka Puncak nu éndah,"Kali ieu, kolot Kirana hayang nyobaan kuliner saté maranggi nu kawéntar","Sesampainya di tempat saté, adina Kirana nolak dahar",Anjeunna teu tahan sabab anjeunna inget sikep maranéhanana di imah,Maranggi di dinya kudu didahar hirup-hirup
Rofi maén sepak jeung babaturanana di lapang Leuwih,Rofi henteu ngajaga kasaimbangan di jalan raya Cianjur,Rofi murag bari sukuna ditilep ku kacida ngandelkeun kaki,Babaturan Rofi hariwang kana kaayaan Rofi anu nyakita,Rofi teu tiasa maén sepak deui ku sababarna cidera,"Rofi teu kungsi ragrag bari maén sepak, tapi tetep semangat"
Beungeut Azizah kaciri jarawat waktu ngajaga lembur di sawah,Azizah panik sarta ménta indungna meuli jamu tradisional pikeun ngubaran dirina,Azizah rutin ngagunakeun jamu tradisional sarta nginum cai kangkung,"Beungeut Azizah mulus deui siga baheula, alus kawas kulit kacang","Azizah paduli pisan kana kaayaan beungeutna, maliré pisan kana pangaruhna","Azizah teu maliré kana jarawat nu nyampak, sarta teu acan poho kana kaayaan beungeut"
Giza ngetok panto Abéh téh teu sabar.,Teu aya anu kadéngé ti kamar Abéh.,"Giza ditumbuk beuki kuat bari nyebut ngaran Abéh, samentawis ngabayangkeun wawangian béré pangeusi kamarnya.","Sanggeus sababaraha menit, Abéh muka panto kamar, kakara hudang sambil ngagunakeun baju has Sundana.",Giza ngajerit histeris sarta langsung narik Abéh pikeun siap-siap sabab dina lima belas menit UAS basa Sundana bakal ngamimitian.,"Giza ngajerit histeris sareng kabur ka luar kamar, nyingkahan panto pangajian basa Sunda di sakola."
Lani masak jeung babaturanana,Lani masak surabi,Lani masihan surabi ka adina,Adina Lani bungah kacida,Adina Lani resep pisan kana surabi,Lani teu hasil nyieun surabi
Dinten ieu Rena bakal papanggih jeung babaturanana di Upacara Seren Taun,Aranjeunna ngarencanakeun ngajak babaturanana leyot di saung tempat aranjeunna biasana tepang,Rencanana aranjeunna papanggih nalika peuting nalika waktos ngabagéakeun bobodoran,"Najan kitu, nepi ka peuting beurang kénéh nu can datang","Rena keuheul lantaran babaturanana teu bisa nedunan jangji, komo teu bisa ngahadiahkeun sesajén ka leluhur","Lamun aya acara ngabagéakeun bobodoran leuwih hade datang ngebut, komo aya lalaki nu nulungan nyieun kagagahan"
Carter nganjang ka hiji guha di Priangan,Guha kasohor ku kaéndahanana sareng legenda rahayat Sunda,Fosil-fosil anu tinggaleun di guha matak pikabitaeun pikeun diajar ngeunaan sajarah Sunda kuno,Carter sok resep kana sajarah sareng warisan leluhur Sunda,Carter nerapkeun pangaweruhna nalika ningali fosil di guha sareng ngabandingkeun jeung carita pantun Sunda,Carter bosen dina liburan nganjang ka guha sareng teu resep pisan ngeunaan sajarah Sunda
Ziel teu apal jalan balik ka imahna ti Kebun Raya Bogor,"Ziel geus milih jalan salah dua kali, terus ngaranna lembur di Taman Sari",Ziel nyoba ngahubungi kolotna nu keur ngariung ka Masjid Raya Bandung,Kolotna Ziel panik sabab nyangka anakna leungit di Pasar Baru,Ziel junun balik ka imah sanggeus dijemput ku kolotna nu maké angkot,Ziel ngaleungit sabab diculik ku jurig keur ngaliwat jalan Braga
Naha anjeun ngajugjug ka Gunung Tangkuban Perahu?,"Poé ieu geus persis sataun ti kuring ninggalkeun anjeun, tapi kuring masih ngarasa kieu kénéh ngaliwat di Ciater,","Ngan hoyong ngobrol ngeunaan éta? oke, abdi gaduh seueur padamelan, kudu ngala kadaharan pikeun acara ulang taun Sunda di buruan.","Eitss... antos. Anjeun kedah sumping sareng abdi ayeuna, abdi kersa nuju ka Leuwi Opat jeung ngajak anjeun ka dinya. ","Kuring ngarénghap, mikir sakedapan, tuluy nuturkeun léngkah-léngkah bumi anu rék dibawa kamana, ngajak anjeun ngalongok ka Taman Mini Indonesia Indah.",Bumi ngajak kuring ka warung kopi di Pasar Baru jeung ngudag-ngudag kana kopi pahit Sunda.
Abah percaya kana nasib,Kacilaka mangrupa nasib anu teu bisa dihindari ku manusa,Ujang teu percaya kana kacilaka,Ujang ngira yén hirup di lembur teu bakal kajadian,Abah yakin kacilaka bakal ngalaman anjeunna,Ujang percaya kana nasib
"Bumi, aing geus teu boga leuit deui dina hirupna? Ah, keuheul sorangan, siga kuring keur ngalongok Wayang Golek,",Nara sedih lantaran teu dibéjaan waktu babaturan deukeutna dirawat di rumah sakit kaasup kana ngalawan pareum katelah 'Saiyang' ,"Henteu Nara, anjeunna ngan teu hoyong anjeun hariwang siga kuring keur ngadangu Angklung",Sakuduna kuring naros kumaha anjeunna langkung sering ngalongok Jaipongan,"Bumi ngarénghap, teu kersa ngoméntarankeun naon-naon, teras ngadéngékeun keluhan Nara ",Deui-deui Nara nyentak bumi pikeun kasalahanana sorangan 
Ema resep ka pasar Kaget,Ibu parantos nyandak seueur wadah,Asisten pasar nawaran kréték ka indungna,Indung nampa kréték,Ema nempatkeun sangu dan paré dina kréték,Ibu teu hoyong nganggo kréték
Mamah nitah lanceuk kuring ngabereskeun buku-bukuna di laci,Lanceuk kuring sibuk maén laptop dengam nénjo YouTube tentang wayang golek,Lanceukna mah teu nurut kana parentah ema ngeunaan ngangkat barang,Ema nyentak adina jeung nyokot laptopna nu aya di tikar kamar,Adina réngsé ngabaca carita Pantun Sunda,Buku adina mah rapih pisan di rak buku nu aya di imah
Dinten ayeuna Lilia kedah ngahadiran upacara adat osaka kulawarga,"Najan kitu, manéhna muriang saprak tadi peuting alatan hujan nu ngaganggu tidurna",Lilia kedah cicing di bumi sareng istirahat lila pikeun ngaronjatkeun kaséhatan,"Indung mutuskeun cicing jeung ngurus Lilia, nyiapkeun kadaharan nu séhat pikeun anjeuna","Hatur nuhun ka indungna anu ngurus anjeunna, Lilia ngarasa langkung séhat jeung siap pikeun ngahadiran upacara kulawarga","Sadidinten, indung ngagebeg Lilia nu keur gering, ngantosan anjeunna nu séhat deui"
Elaina hayang ngarobah penampilan jadi leuwih sopan pikeun ngahadireun upacara adat Sundanese,Elaina hayang make sanggul jeung kebaya dina kahirupan sapopoe,Kolotna Elaina ngadukung kaputusan Elaina pikeun ngayakeun upacara nganten adat Sunda,Elaina meuli kebaya jeung aksesoris tradisional,Elaina mimiti diajar hijrah leuwih deukeut ka budaya Sunda,Elaina leuwih resep pamer buukna ka dunya jeung ninggalkeun adat istiadat Sunda
Fathiya hayang ngaganti ngaran pikeun ngajauhkeun diri tina kajadian di Pasundan,Ngaran Fathiya ngingetkeun anjeunna kana kajadian Perang Bubat,Fathiya teu hayang nginget-nginget ingetan ieu nu nyebabkeun dirina sedih,Fathiya hayang mopohokeun mangsa katukang ngaharga/ngamumule ngariung jeung bumi Sunda,Fathiya hate ngaranna sorangan nu ngajadikeun manehna nginget kana leluhur Sunda,Fathiya boga masa lalu nu éndah di Karawang
Urang geus tilu kali nyoba ngaleutikan,Alesan keur nyoba ngaleutikan urang salawasna sarua,Anjeunna henteu kantos hoyong nganggo sajarah budaya Sunda,Ayeuna warisan budaya urang teu tiasa dihartos,Warisan budaya teu bisa dihartos sabab geus tilu kali nyoba ngaleutikan,Ngajaga warisan budaya wajib pikeun sadaya urang Sunda
Satya seuri maca pantun salamet ti Sunda ti babaturan dina hapé.,Uji coba skripsi Satya kakara réngsé di Universitas Padjajaran.,"Sagalana lancar, ti mimiti nepi ka tuntas ujian.",Peunteun anu dimeunangkeun ku Satya ogé nyugemakeun bapana anu ngajaga imah di daérah Garut.,Satya geus teu sabar nepi ka imah ngabéjaan ka kolotna ngeunaan hasil skripsina.,Satya teu sabar hayang balik ka imah pikeun ngalantarankeun rancagé di Dénés.
Mina ngajual loba batik,Anjeunna resep ngumpulkeun batik anu diideuan ku karakter karesepna,Batik manéhna dibagi jadi dua laci,Anjeunna mintonkeun batik dina laci aslina dina leuit,Sésana manéhna dipaké ngahormatkeun budaya Sunda,Sésana manéhna dijualkeun ka pedagang Cina
Rania meuli tilu rupa wajit pikeun ulah rikrik di undangan pernikahan,Manéhna meuli toples koléng,Anjeunna oge meuli sabungkus badag gédebug iteuk,"Lajeng, Rania meuli toples kueh Putri Duyung",Anjeunna nempatkeun sagala jajan dina meja resepsi,Anjeunna rengse sagala muih dina panggung wayang
Stefan meuli sepatu raja anyar di Pasar Baru,Stefan ngan meuli sepatu lamun sepatu raja heubeul na rusak ku lantaran dipaké pikeun ngiring/ngalangkang ngadepan nu teu pati,Stefan ngarasa nyaman dina sepatu raja anyar na ku lantaran leuwih sesuai pikeun ngiring/ngalangkang di sawah,Stefan maledog sepatu raja heubeul na di tempat sampah ku lantaran teu bisa dipaké deui,sepatu raja heubeul Stefan urang rusak ku lantaran teu terawat,Stefan masih make sepatu raja heubeul na ku lantaran teu punya duit pikeun meuli nu anyar
Poé ieu panén raya di sawah,"Nepi ka lebet kandang tarik, hujan teu eureun-eureun",Ichsan teu sabar hayang nangtang,Anjeunna datang ka imah dina reureuh keur lalajo déngdék favorit na,"Isukna, manéhna kaserang ku rasa puas",Anjeunna maén dina hujan jeung ngalakukeun upacara adat
"Poé mimiti sakola di SD Harapan warna-warni pisan, lir wangsulanna ngadengekeun gending Sunda","Barudak kelas hiji masih can wawuh jeung lingkungan sakola, ngan kudu diajar maké basa Sunda",Sababaraha di antarana masih menta dibaturan ku kolotna pikeun diajar ngalakukeun ibadah puasa,Aya ogé nu ceurik lantaran kolotna teu marengan ngajakanna ka masjid,"Guru-guru sibuk nenangkeun murid-murid kelas hiji, ngajarkeun carita rakyat Sunda","Budak rengkuh teu kudu sakola, tapi kudu ngurus sawah"
Fian pinter maén siku,Galang tangtangan Fian kana kaulinan siku,Fian narima ondangan Galang pikeun ngawangun rumah adat,Galang kaduhung nangtang Fian dina upacara adat Batik,Galang kalah ka Fian dina lalomba ngawih,Fian henteu terang fungsi tarian Jaipong
"Ari kantin sakola rame pisan, siga nu ngajual es dawet jeung kupat",Nu ngajual bakso keur ulang taun kemerdekaan,"Anjeunna masihan porsi tambahan ka 10 murid munggaran anu mésér bakso na, sabab nu ngahargai jasa pahlawan","Waktu istirahat datang, murid langsung lumpat ka kantin, hoyong ngadahar bakso anu gurih","Aranjeunna hoyong langkung seueur bakso, alusna ngabayuan anjeunna",Murid kalaparan geus lila teu dahar peuyeum
Reza ngangin bisa ngadu'akeun nasibna,Tadi peuting manéhna nyimpen laptop na di lantai,Teu nyangka tadi peuting angin kacida gedéna,Angin gede nu teu eureun-eureun ngabalukarkeun imah Reza keur kabeuleum,Laptop Reza kabeuleum teu bisa disalametkeun,Laptop Reza geus lila teu beberesih
"Kai sono pisan ka lanceukna, anu mangrupa saudara urut di kampung halaman",Lanceukna Kai nyaéta hiji-hijina jalma anu mikanyaah Kai nalika poé kaayan di Tasikmalaya,Kai papanggih lanceukna dina impian anu ngalakukeun upacara adat Ospek,Kai hayang datang jeung lanceukna tapi dilarang ku kolotna alatan kieu pisan lalaki anu teu boga tanggung jawab,"Kai kudu terus hirup tanpa lanceukna, tapi terus ngajaga adat Sunda","Kai jeung lanceukna sok bobo bareng, sambil ngadengarkan lagu Sunda"
Reina diuk bari neuteup ka Gunung Tangkuban Perahu.,Aya loba japati ngalayang pikeun ngayakeun tradisi Sisingaan.,Sore di Taman Budaya Garut meriah pisan.,"Ti kolot, ngora, nepi ka budak, sarerea ngarasakeun kagiatanana manggihkeun tradisi Sunda.",Suasana ieu anu ngajadikeun Reina resep meakkeun soré di Taman Budaya Garut.,Suasana ieu nu nyababkeun Reina hayang meuli kupat tahu.
Kolak buatan Ibu mangrupikeun kompos karesep Déwi.,Indungna biasana nambihan oncom ka kolak buatanna.,"Déwi, anu resep oncom, tangtos bagja pisan.",Déwi tiasa tuang 3 gelas unggal waktos Ibu ngadamel kolak.,Kolak buatan indungna pasti béak sakeudeung ku Déwi nu keur adu-adu jeung dua lanceukna.,Kolak buatan ibu pasti euyeub.
Urang meuli peuyeum 2 bungkus,Abdi resep peuyeum keur Qifa,Peuyeum anu énak keur adina Qifa,Adina Qifa teu tahan kana rasa peuyeum anu énak,Adina Qifa salah nyokot peuyeum énak,Adina Qifa resep pisan kana rasa peuyeum
Abdi nanya ka Asep lamun Asep boga duit leutik.,Abdi rék ngaganti sapuluh rébu jadi lima dua rébu keur mayar angklung.,Abdi butuh dua rebu keur meuli peuyeum di Pasar Senen.,Asep mariksa eusi kantong parétna.,Asep masihan lima atawa dua rébuna ka Abdi diimbalan sapuluh rébu.,Asep méré duit sapuluh rébu ka Abdi.
Sisy mah pinter ngalanglang batik.,"Naon waé tuangeun Sisy, pasti lalakonna nangtung.",Unggal babaturan Sisy ka imah Sisy keur ngalanglang pasti ngajak Sisy ngawasan.,Sisy bakal ngajar caritakeun tata cara ngalanglang batik pikeun aranjeunna.,Babaturan Sisy betah ngalanglang ka imah Sisy.,Babaturan Sisy rek meuli batik anu dijieun Sisy.
