sentence_1,sentence_2,sentence_3,sentence_4,correct_ending,incorrect_ending
Laily kepengin dadi dhukuh,Laily pengin menehi semangat kanggo warga désa,Laily kepengin uripe ngemban amanat,Laily seneng mimpin upacara adat,Laily nglatih awake dhewe dadi panggawé karawitan,Laily wedi nggelar wayang kulit
"Kanggo mengeti ambal warsa sekolah, SMA Harapan nganakake lomba Jemparingan",Lomba kapisan yaiku adu gulat antarane abdi dalem lan siswa,Wakil saka saben kelas nyiapake kanggo nglawan wakil penghulu desa,Kompetisi kasebut sengit,Lomba iki dimenangake dening perwakilan siswa lan diwenehi hadiah reog,Lomba iki tambah bosen nganti mesti dibubarake
Valeeqa janji arep teka menyang pasar malam,Valeeqa ora bisa nepati janjine amarga kena macet,Valeeqa nindakake ziarah kuburan leluhur,"Valeeqa ndedonga kanggo wong sing tilar donya nglairake dheweke, yaiku mbokké",Valeeqa ziarah menyang dhaharan mbokké,Valeeqa tansah dolan karo sababrata
Randu nduweni koleksi wayang sing akeh,Randu seneng karo sing lucu lan apik kaya tari Jawa,Randu ngirit dhuwit kanggo tuku kudhung sing dikarepake,Randu uga kerja paruh wektu kanggo entuk gaji saben wulan kanggo mbiayai mudhik,Randu seneng banget karo kabeh koleksi wayang kulit,Randu ora bisa mangan gudeg sing ditinggalake wong liya
Jihan kudu nuduhake tikete,Jihan bakal dibebusake ing plataran paling cedhak yen tiket ilang,Kondektur sepur wis wiwit mubeng mriksani,Jihan kasil golek tiket,Jihan ora bakal dibebusake sadurunge tekan plataran tujuane,Eka diusir saka kereta
Heni marani Agung,Agung nglukis wayang,Heni gumun karo lukisane Agung,Heni nyawang Agung sing lagi nglukis,Agung seneng karo Heni ngancani,Heni lan Sinta lagi masak ing pawon nggawe gudeg
Siti lagi maca Serat Centhini,Ana akeh kitab ing perpustakaan pesantren,Siti seneng ana ing perpustakaan,Siti ora ana ing masjid,Siti ana ing perpustakaan pesantren,Siti lagi mangan gudeg ing plataran
"Kiye iki masak apa, mbok?","Saben wangsul saking sekolah, ibu tansah nyalurake dhuwit awan kanggo Nana.","“:Dina iki sate kesukaan nana, ayo cepet ganti klambi,”; wangsulane ibu.",Nana cepet-cepet ganti klambi supaya bisa langsung bali menyang pawon.,"“Wis rampung bu, nana wis siap mangan masakane ibu,”; kandhane nana nggawe ibune ngguyu amarga kelakuane.",Kamangka saiki Nana wis kelas 2 SMP.
"Pandanganku bali maneh menyang udan ing njaba jendhela, kaya ing dina-dina katoné wayang kulit.","Wiwit cilik aku seneng nyawang udan ing désa, déné wong tuaku nyawang ing sawah.",Saben tetes kaya melodi sing ngajak aku dolanan ing omahé mbah putri.,Udan uga ngelingake kanca-kanca cilikku sing padha main ing lapangan.,Aku tansah kangen dheweke sanajan aku ora ngerti maneh carane nggawa kenthongan.,"Bau udan sing teka saka lemah biasane diarani petrichor, tapi mbah putri ngarani bau 'wewangian bumi'."
Airy arep menyang pasar malam ing Ngayogyakarta,Airy ora duwe dhuwit saka gaji njagong,Airy njaluk dhuwit marang bapake kanggo tuku wayang,Bapake Airy ora menehi dhuwit marang Airy amarga bapake wis mesti tuku bensin sepeda,Airy ora tuku apa-apa saka pasar malam amarga ora duwe dhuwit,Airy isih semangat menyang pasar malam ing Ngayogyakarta
Cheryl ora nganggo udeng,Saben wong sing nindakake kegiatan ing njaba omah kudu nganggo udeng,Pemangku adat bakal tumindak tegas marang wong sing ora ngagem udeng,Cheryl kudu ngalap berkat,Pemangku adat menehi wejangan Cheryl amarga ora nganggo udeng,Cheryl minangka pemangku adat
Anis nyoba nyegah korupsi ing papan kraton,Anis ora pengin abdi dalem melu korupsi,Anis bebas saka tuduhan korupsi,KPK tau nggolèki kantore Anis,KPK ora nemu dakwaan marang Anis lan kraton,Anis koruptor gedhe ing Tanah Jawa
Vinda digawe panas gudeg kanggo ngawula minangka nedha bengi.,Sego liwet lan peralatan mangan ditata rapi ing meja.,Ana uga jar krupuk kanggo ngiringi gudeg.,Bapak lan Ibu lungguh ing meja makan sambil ngaji.,Dheweke langsung njupuk sego liwet lan mangan kanthi lara pas disuguhake gudeg.,"Dheweke langsung metu saka meja makan, sawise disuguhake gudeg."
Reki nggawa es tèh 2 gelas,Jia ora nggawa bekal,Jia weruh Raka lagi ngalap sate,Raka menehi es tèh marang Jia,Jia matur nuwun Raka,Jia menehi gudeg marang Raka
Atine Ika wis deg-degan ngenteni asil Ujian Kelulusan sing bakal metu sore iki.,Ika wis ora fokus maneh ngrungokake katrangan saka wali kelase Bu Ida.,Mripate Ika bolak-balik nyawang Bu Ida ing ngarepe lan jam tangan ing bangkekan kiwa.,"Kanca-kancane Ika liyane akeh uga sing tumindak sumelang kaya Ika, kaya déné wayang kulit sing lagi disawang.",Bu Ida sing ngerti rasa kuwatir murid-muride mung bisa mesem ngerti kaya déné para wali songo.,Bu Ida sing ngerti rasa kuwatir murid-muride langsung niat nelpon kepala sekolah kaya déné kucing sing kepepet.
Sangu saben wulan Kori wis abot durung wayahe,Kori mung tuku akeh lawas-lawasan ing pasar tradisional,Kori arep dekorasi omah,Ibu-ibu bakal nesu yen dhuwit kanthong anak cepet epek,Ibu ngece Kori amarga boros,Ibu tuku lawas-lawasan Kori ing pasar tradisional
Rifani nggolèki mantan priangge,Ken kaget karo anané mantan priangge,Rifani ngajak Ken ngobrol ing pawon,Rifani crita karo Ken lan kosok baléné,Gandhèngané Rifani lan Ken tetep apik sanajan asmara wis rampung,Ken wis tau pacaran sadurungé
Fio pengen banget dadi siswa teladan,Fio saingan karo kancane liyane,Fio wis mesthi dikenal minangka siswa sing manut banget marang kyai,Fio menehi upaya sing paling apik kanggo dadi santri teladan,Fio tansah duwe motivasi kanggo dadi sing paling apik,Fio luwih dikenal minangka siswa sing nglanggar adab
Mbakyu Santi duwé hobi anyar nandur kembang,Dhèwèké nandur melati lan mawar ing plataran ngarep omah,Akèh wong sing seneng tanduran Santi,Ora jaran wong mampir takon arep tuku kembangé Santi,Hobi Santi mènèhi tambahan pengasilan kanggo Santi,Santi saiki lagi nandur pari ing kebon mburi
Hiro duwe sendang banyu ing griya,Banyu ing griya Hiro ora bisa urip,Griya Hiro ngalami pemadaman listrik,Kulawargane Hiro isih bisa nggunakake banyu kaya biasane,Sendang banyu ing griya Hiro migunani banget kanggo kulawargane,Hiro ora bisa adus utawa ngombé nalika lampu mati
Jihad nonton pertunjukan wayang,Jihad sinau carita wayang sadurunge,Jihad penasaran lan pengin dadi dalang,Jihad diundang ing panggung dening dalang kondang,Jihad nglakoni lakon sing padha karo dalang,Jihad ora kasengsem ing carita wayang
Kulit Nadia kobong,Nadia kudu kerja ing sawah panas,Kulit Nadia wiwit ireng,Nadia ora duwe pilihan liya,Nadia iku wong tani kang tanggung jawab,Nadia ora tau gelem nandur pari
Yohana weruh bayangane ing sawah,Yohana wedi karo wewayangane kaya déwa bhatara ing wayang,Yohana ngeluh marang ibune yen ana sing nututi dheweke kaya lelembut ing Alas Purwa,Ibu nerangake marang Yohana babagan kedadeyan wewayangan wayang kulit,Yohana ngerti lan ora wedi maneh karo wewayangane amargi wis ngerti babagan jiwa lan semesta,Yohana disusul memedi kaya déwa kala ing mitologi Jawa
Shana ngrasakne yen nasib ana ing sisihe,Shana kepengin ketemu wong sing pancene tresnani kaya Sri Sultan Hamengkubuwono X,Shana tansah ndedonga supaya padha ditakdirake kanggo bebarengan ing Kraton Yogyakarta,Shana ketemu wong iki sawise 2 taun pisah ing Wayang Wong,Nasib ana ing sisih Shana,"Shana ora perduli maneh karo wong sing ditresnani, milih fokus ing nggelar upacara Sekaten"
"Wiwit cilik, Mamat nandhang asma amarga kacarita yèn ing Yogyakarta akeh polusi udhara",Asma dheweke mumbul yen ndang kena debog utawa kotoran ing kala ngibadah ing masjid,"Yen kena debog utawa kotoran ing kala ngibadah ing masjid, dheweke bakal sesak ambegan",Mula saben metu saka omah nganggo topeng kain batik tradisional Jawa,Dheweke uga sregep ngresiki kamar supaya ora akeh debog saka dupa kanggo ritual Jawa,Dheweke tuku sapu kanggo mbusak kotoran ing dalan Malioboro
Vida nempelake kertas ing dinding gedhong pesantren.,Kertas kasebut ngemot pengumuman tanggal ngumpulake kertu nilai ujian.,Vida uga mbagekake undhangan resmi marang kyai.,Vida nyelehake undhangan loro ing saben meja di aula.,"Vida dikongkon kyai nglakokne kabeh iki pas wengi ngaso, mula pesantren sepi.",Vida dijak kyai njaluk sumbangan marang santri-santrine.
Rian wes klenger manggon ing omah kontrakan karo kanca-kancane,Kanca-kancane padha males ngresiki omah,Malah males ngresiki barang-barang,Nyelewani dadi reged lan rame banget,Rian ora betah manggon ing papan sing rame kaya pasar,Omah sing rame mbukak kesempatan nggarap usaha kanggo wong liya
Kris njaluk pangestu marang Puput,Kris janji ora bakal mbaleni kaluputan sing padha,Puput ora percaya karo omongane Kris,Puput milih ninggalake urip Kris,Puput ora bisa menehi pangestu marang wong kang gawe salah marang dheweke,Puput menehi Kris pangestu kaping lima
Kei ora resep nonton wayang kulit,"Miturut dheweke, akeh lakon wayang kulit sing klise banget",Alur critane Rama lan Shinta uga alon banget,Nonton wayang kulit nggawe dheweke ngantuk,Dheweke luwih seneng nonton reog ponorogo,Luwih becik ngombe sekul lan gudeg nalika nonton wayang kulit
Rian lan Rino kembar identik sing saling melengkapi,"Rian pinter banget ing mata pelajaran Sains lan Rino ing mata pelajaran Sosial, kaya wayang kulit sing duwe rong sisih","Sajrone ujian saben dina, Rino lan Rian kerep pindhah panggonan kanggo entuk asil sing apik, kaya ngibadah ing pasa surut","Dheweke ditemokake amarga nilai ujian bebarengan beda karo tes saben dina, kaya banyu kacang sing wis kebentar","Guru-guru dhewe-dhewe paring wejangan marang wong loro iku supaya ora nindakake maneh, kaya ing paribasan Jawa 'ora usah nglakoni'","Wong tuwane bangga yen anake pinter, kaya wong sing barinan ing wayang"
Widya saiki wis duwe dhuwit saka nggih sawise lebaran,Dheweke kepengin tuku laptop anyar kanggo sinau njawi ing ngombe,Laptop lawase rusak kaya ta' ngandelake nggon,Laptop asring ndadak mati ing tengah-tengah Widya nindakake pakaryan ing kampus,Widya arep tuku laptop sawise wis rampung kuliah S1-é,Widya arep tuku laptop lan HP anyar kanggo dolanan gamen
Aku wis nutup lawang jendela kamar,Udane peteng banget,Aku weruh bledhos saka njaba jendela,Aku panik lan langsung nutup jendela,Aku wedi nalika weruh bledhos,Kamar aku ora ana jendhela
Ninggal lewih seneng mangan gudeg,Ninggal ora seneng janganan,Ninggal tansah nyingkiri dhawuh mangan janganan,Dicky meksa Ninggal mangan janganan,Ninggal ora gelem meksa Dicky,Ninggal tansah mangan janganan saben dina
Rizky nabuh angklung hadiah saka kancane,Rizky bisa sinau cathetan angklung kanthi cepet,Rizky nuduhake kancane sing lagi dolanan angklung,Kanca-kancane Rizky bangga karo kemampuane Rizky,Kancane Rizky menehi hadiah sing pas marang Rizky,"Rizky dudu wong budheg, nanging dadi wong urip"
Amy nantang Kara,Kara bakal entuk sesaji yen dheweke kasil ngliwati upacara adat kasebut,Kara ora sabar ngenteni upacara adat iki,Amy nyetel tata cara upacara kanggo Kara,Kara bisa ngliwati upacara adat lan olèh berkah,Kara olèh warisan saka Amy kaya ngono
Kezia menyang pasar tradisional,Kezia arep tuku kebutuhan pokok kanggo ngupi,Kezia nggoleki dhompet ing baju batik,Kezia metu saka pasar tradisional kanthi tangan kosong,Kezia lali ora nggawa dompete,Kezia tindak nonton wayang kulit
"Ing Jawa, Ani, calon mantune Mas Budi, uga lagi lara ati.",Dheweke mikir kepiye rasane kekasihe nalika maca layang saka dheweke.,Anake Mas Budi kuwi wonge jujur lan katon tanggung jawab.,"Nanging sayange, dheweke ora duwe papan ing atine Ani.","Sanadyan wis rada telat, Ani lega amarga wis mutusake hubungane.","Ani mlumpat saka bale, arep lumaku ing sawah teka kekasihe."
Untunge nyambut gawe dadi tukang sapu ing kraton Yogyakarta,"Dheweke wis ing profesi iki kanggo 5 taun, lan wis naté njabat dados abdi dalem","Dheweke ngakoni yen dheweke nindakake kanthi ikhlas lan penuh tanggung jawab, kaya déné ngingoni pitutur luhur Jawa","Kamangka penghasilane mung 500 ewu saben wulan, nanging dheweke isih bisa nguripke kulawarga kanthi cukup","Kanggo dheweke, proyek iki minangka berkah sing banget disyukuri, kaya déné mendapat kesempatan dadi bagian saka nguri-uri budaya Jawa","Untung asring sambat babagan pegaweyane dadi tukang sapu, lan péngin mandheg amarga ora sesuai karo martabaté minangka wong Jawa"
Rahmat bocah sing nggantheng lan bakat,Ora nggumunake amarga wong tuwane Rahmat minangka dalang wayang,Bapake dalang kondang,Ibune minangka penari tayub,Woh-wohan ora tiba saka wit lan saiki Rahmat wis dadi dalang cilik,Rahmat bocah cendhek sing tresna marang ibune
"Ing ngelmu, aku mung duwe idola siji.",Dheweke ustadzku.,"Dina iki ustadz ulang tahun, aku arep menehi kitab kuning marang ustadz.","Nanging, sawetara toko kitab wis tutup amarga aku mulih saka pengajian telat.",Akhire aku mutusake tuku tasbih amarga aku kelingan yen tasbih ustadz wis pecah.,Ustadzku nyambut gawe dadi lurah ing desa.
Lampu kamar Gera padham,Gera ora bisa sinau ing wayang,Gera njaluk bapake ngganti lampu kamar,Rama nuruti panjaluke Gera,Lampu ing kamar Gera bali padhang,Gera ora duwe pendhapa
Dhéwék seneng banget main wayang kulit,Dhéwék nggunakake lèmpèng kanggo ngakses cerita wayang kulit kué,Jaka kerep kelangan wektu nalika nonton pagelaran wayang,Jaka luwih seneng ing jagad wayang,Dhéwék nglampahi wektu dheweke main wayang kulit,Dhéwék bisa mbagi wektu kanthi apik kaya Rama kang nglakoni tanggung jawab
Katresnan mbutuhake Alesan,Alva tansah ndakake kabeh tanpa alesan kaya wong Jawa kang luwih mikir ing alesan,Alva nolak pengakuan Marven babagan katresnan amarga dianggap ora sesuai karo adat Jawa,Marven lara ati amarga perlakuan Alva kang ora sesuai karo tatakrama Jawa,Alva ora tresna marang Marven amarga dianggap ora sesuai karo garis keturunan kulawarga,Alva pungkasane pacaran karo Marven amarga akhiré Alva nampa pangapunten
Pendidikan iku hak kabeh wong Jawa,Pemerintah fokus kanggo ningkatake pendidikan ing Yogyakarta,Siswa ngrasakake pengaruhe owah-owahan kurikulum basa Jawa,Kurikulum diowahi kanggo adaptasi karo kemajuan teknologi ing DIY,Kurikulum ing Yogyakarta tetep konsisten,Bocah-bocah jalanan ora duwe hak kanggo sinau basa Jawa
Bengi iki dumadakan teka ing ngarep omahku lan nggawa gudeg.,"Kaya biasane, dheweke bakal nemoni aku yen wis bosen karo pasinaone.","&#x201C;Kowe ngerti ta? Ana sing bakal bosen tumindak ala yen diparingi kabebasan nglakoni,&#x201D; kandhane sinambi ngemil krupuk.",Sapa sing ngomong iku teori?,"&#x201C;Lha Yogyakarta, luwih saka separo populasi iku nglakoni tradisi Jawa nanging bisa dikontrol dening manungsa&#x201D; Aku meneng krungu jawabane.",Dina iki dheweke nganggo beskap sing dakwenehake kanggo Grebeg Syawal.
Dwi sinau ing pesantren kang mulya kanthi beasiswa saka kyai sing cedhak karo dheweke,Dwi cedhak karo wong sugih sing punika dermawan,Yoongi iku dalang kondhang sing kondhang amarga rupane apik,Yoongi kerep menehi dhuwit lan barang gratis kanggo wong sing cedhak karo dheweke,Yoongi nutupi biaya kuliahe Dwi minangka beasiswa,Dwi nyambut gawe mbangun masjid bareng Yoongi
Yana lan mbakyune seneng banget mangan gudeg,"Saben dina, menu panganan kudu kalebu gudeg",Yana seneng banget karo areng,Biasane dheweke nyampur gudeg karo krecek,"Sauntara kuwi, adhine seneng banget karo gudeg abang",Adhine ora seneng mangan gudeg putih
Arta kudu melu KKN,KKN iku singkatan saka Kuliah Kerja Nyata,Arta kudu ngabdi ing désa sing ditunjuk déning universitas Jawa,Arta kepengin migunani tumrap wong adicara ing désa,Arta melu KKN sing dibutuhake universitas Jawa,"Arta ora gelem melu KKN, milih ngerjakake tradisi jupuk rambutan wae"
Ilyas nutup buku ing tangane sambil ngombe bandrek.,Wis seminggu anggone maca buku nalika lungguh ing pawon.,Biasane Ilyas ora suwe anggone maca amarga kerep ngerumpi marang mbokku.,"Nanging, tugas kuliah sing akeh, tegese Ilyas mung bisa nyolong wektu kanggo maca sambil nganggo blangkon.","Pungkasane, dheweke mung rampung maca buku sawise seminggu wiwit maca pisanan sambil ngunyah pindang.",Akhire dheweke nggawa buku menyang pasar Ngasem.
Aku mlaku liwat alun-alun kutha nganti aku nyadari yen sikilku wis ngidak.,"Aku ngangkat sikilku, banjur aku weruh amplop ijo.",Amplop mau isine kertas ingkang kagawe saka bahan tradhisional khas Jawa.,"Katon kaya layang katresnan, nanging ora ana jeneng utawa alamat sing dituju, mung ana tulisan 'Kanggo wong kang tresna'",,"Akhire aku nyuwek kertas lan amplop, lajeng aku tindak menyang pasar tradhisional Jawa"
Komi kepengin nonton wayang kulit,Rama uga kepengin nonton wayang kulit,Komi durung nggarap PR,Rama wis nglakokake PR,Rama diparengake nonton wayang kulit dening Ki Dalang,Rama kudu nggarap PR
Bocah-bocah mlayu ing ngarep omahku,Swara rame banget kaya swara gamelan Jawa,Padha ngguyu nganut budaya Jawi,"Sanadyan saka njero omah, aku isih keprungu swarane kang nggambaraké semangat Jawi","Aku rumangsa keganggu banget, kaya déné ora bisa ngrasakaké suasana selametan",Aku metu saka omah lan mlayu karo wong-wong mau nganakaké acara wayang kulit
Abi weruh anak kucing sing tiba ing sawah.,Anak kucing ora ngerti ana selokan ing ngarepe nalika dheweke mlaku ngubengi desa.,"Abi langsung mlayu menyang selokan, mbokake wis ngandhani kudu ati-ati.","Dheweke njupuk kucing kasebut kanthi ati-ati saka saluran pembuangan, banjur disimpen ing bakul.","Anak kucing kuwi langsung klenger ing pangkone Abi, adem lan teles, kaya wong sing lagi ngaso ing pendopo.","Kucing iku putih lan abu-abu, mèmper kaya baju adat jawa."
Ailin nangis weruh wayang adhine ana ing ngarepe,Ailin mung dikancani wong tuwane kang dadi dalang,Wong tuwane Ailin duwe anak 2 lan seneng banget marang budaya Jawa,Mbakyune Ailin janji arep ngeterake dheweke nganggo busana Jawi,Janjine adhine Ailin ora bisa ditepati amarga kudu lunga maring pasar malam,Adhine Ailin lagi nganakake kemah ing Gunung Lawu
Dina iki Ibu tindak nekani siraman manten,Penganten putri saka kanca apike ibu saka pesantren,Bapak lan Mirna rawuh ngancani ibu nganggo busana Jawi,"Bareng wis tekan gedhong, padha ngisi buku tamu ing resepsi lan nggawa sesajen kanggo penganten",Sakwise kuwi banjur ngaturake sugeng marang penganten lan ngajak ngombe kopi suling,Dheweke langsung mulih sawise entuk oleh-oleh pernikahan saka penganten
Sepeda motor Arvin nginjak paku ing dalan,Arvin langsung marani bengkel ban sing paling cerak,Arvin kesusu arep melu rapat ing pendopo kabupaten,"Arvin ninggal sepeda motor, banjur numpak andong",Arvin teka ing rapat kasebut bareng-bareng karo lurah,Arvin lunga numpak delman
